id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to
1112863365590769664,1112863365590769664,1554162277000,2019-04-01,16:44:37,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,I’ll be appearing on @Itsshowtimegr with @koklonis this coming Saturday! Tune in to see the fun I had during my visit to Greece. pic.twitter.com/vGxTpvht6i,"['itsshowtimegr', 'koklonis']",[],['https://pbs.twimg.com/media/D3GvVHaW0AAtNvX.jpg'],121,34,294,[],[],https://twitter.com/Caitlyn_Jenner/status/1112863365590769664,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '1098179676885970945', 'username': 'Itsshowtimegr'}, {'user_id': '97910797', 'username': 'koklonis'}]"
1094804763584061441,1094804763584061441,1549856770000,2019-02-10,19:46:10,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,I’m raising my voice for the thousands of girls in America who have been abused or neglected. Join me in supporting @janiesfund by visiting: ​ http://bit.ly/2Db6Pb4 ​ #JamForJanie,['janiesfund'],['http://bit.ly/2Db6Pb4'],[],189,39,430,['#jamforjanie'],[],https://twitter.com/Caitlyn_Jenner/status/1094804763584061441,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '2912909145', 'username': 'JaniesFund'}]"
1094797103103062016,1094797103103062016,1549854944000,2019-02-10,19:15:44,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,We love and support you Travis and Kylie! You’re so talented ❤️ #GRAMMYs,[],[],[],138,121,3535,['#grammys'],[],https://twitter.com/Caitlyn_Jenner/status/1094797103103062016,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
1090795221078532096,1090795221078532096,1548900821000,2019-01-30,18:13:41,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Tune in TONIGHT to catch me in an all-new #MatchGame at 10|9c on ABC!,[],[],[],94,19,305,['#matchgame'],[],https://twitter.com/Caitlyn_Jenner/status/1090795221078532096,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
1058508846199562240,1058508846199562240,1541203149000,2018-11-02,16:59:09,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,I had a great time today distributing four grants to extremely deserving organizations in the Phoenix area. I am blessed to be a part of this community pic.twitter.com/ycJj4aD8yB,[],[],"['https://pbs.twimg.com/media/DrCUKs0W4AA1QrN.jpg', 'https://pbs.twimg.com/media/DrCUKs4XQAEWqsA.jpg', 'https://pbs.twimg.com/media/DrCUKszWwAEVu_L.jpg', 'https://pbs.twimg.com/media/DrCUKs0XcAAz_hO.jpg']",127,42,580,[],[],https://twitter.com/Caitlyn_Jenner/status/1058508846199562240,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
1055550158698504193,1055550158698504193,1540497743000,2018-10-25,13:02:23,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,, http://wapo.st/caitlyn ,[],['http://wapo.st/caitlyn'],[],1382,158,832,[],[],https://twitter.com/Caitlyn_Jenner/status/1055550158698504193,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
1054478618389241856,1054478618389241856,1540242268000,2018-10-22,14:04:28,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,.@realDonaldTrump pic.twitter.com/JdZn1zCQmg,['realdonaldtrump'],[],['https://pbs.twimg.com/media/DqJCs6dU0AAjlYv.jpg'],10478,3419,18418,[],[],https://twitter.com/Caitlyn_Jenner/status/1054478618389241856,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]"
1037047496688590848,1037047496688590848,1536086365000,2018-09-04,11:39:25,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,. https://www.cameo.com/caitlynjenner  follow me on Cameo and get in your personal video requests ☺️ @cameo,['cameo'],['https://www.cameo.com/caitlynjenner'],[],162,36,361,[],[],https://twitter.com/Caitlyn_Jenner/status/1037047496688590848,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '659243', 'username': 'cameo'}]"
1032309507869687808,1032309507869687808,1534956740000,2018-08-22,09:52:20,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,.@ChildrensLA provides health care and helps patients more than 500K times each year. This amazing hospital also provides essential care for our trans youth. As a nonprofit the hospital relies on the generosity of the community. Help by donating today https://www.crowdrise.com/o/en/campaign/supporting-childrens-hospital-los-angeles/taylorbranham1?utm_campaign=oc&utm_medium=twitter&utm_source=crowdrise …,['childrensla'],['https://www.crowdrise.com/o/en/campaign/supporting-childrens-hospital-los-angeles/taylorbranham1?utm_campaign=oc&utm_medium=twitter&utm_source=crowdrise'],[],52,43,344,[],[],https://twitter.com/Caitlyn_Jenner/status/1032309507869687808,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '23006082', 'username': 'ChildrensLA'}]"
1026507587942985728,1026507587942985728,1533573455000,2018-08-06,09:37:35,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Help make #AIDS history. Post a ❤️ with #LifeRide9 tagging @Kiehls and they will donate $30 to @amfAR to find a cure for #HIV. Help spread the word by tagging 3 friends!,"['kiehls', 'amfar']",[],[],65,66,409,"['#aids', '#liferide9', '#hiv']",[],https://twitter.com/Caitlyn_Jenner/status/1026507587942985728,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '23593931', 'username': 'Kiehls'}, {'user_id': '16544437', 'username': 'amfAR'}]"
